Hs,ws,Cp,Ct
1.0,0,0,0
1.0,3,0.049361236,0.817533319
1.0,3.54953237,0.224324252,0.792115292
1.0,4.067900771,0.312216418,0.786401899
1.0,4.553906848,0.36009987,0.788898744
1.0,5.006427063,0.38761204,0.790774576
1.0,5.424415288,0.404010164,0.79208669
1.0,5.806905228,0.413979324,0.79185809
1.0,6.153012649,0.420083692,0.7903853
1.0,6.461937428,0.423787764,0.788253035
1.0,6.732965398,0.425977895,0.785845184
1.0,6.965470002,0.427193272,0.783367164
1.0,7.158913742,0.427183505,0.77853469
1.0,7.312849418,0.426860928,0.77853469
1.0,7.426921164,0.426617959,0.77853469
1.0,7.500865272,0.426458783,0.77853469
1.0,7.534510799,0.426385957,0.77853469
1.0,7.541241633,0.426371389,0.77853469
1.0,7.58833327,0.426268826,0.77853469
1.0,7.675676842,0.426077456,0.77853469
1.0,7.803070431,0.425795302,0.77853469
1.0,7.970219531,0.425420049,0.77853469
1.0,8.176737731,0.424948854,0.77853469
1.0,8.422147605,0.424379028,0.77853469
1.0,8.70588182,0.423707714,0.77853469
1.0,9.027284445,0.422932811,0.77853469
1.0,9.385612468,0.422052556,0.77853469
1.0,9.780037514,0.421065815,0.77853469
1.0,10.20964776,0.419972455,0.77853469
1.0,10.67345004,0.419400676,0.781531069
1.0,10.86770694,0.418981957,0.758935311
1.0,11.17037214,0.385839135,0.614478855
1.0,11.6992653,0.335840083,0.498687801
1.0,12.25890683,0.29191329,0.416354609
1.0,12.84800295,0.253572514,0.351944846
1.0,13.46519181,0.220278082,0.299832337
1.0,14.10904661,0.191477908,0.256956606
1.0,14.77807889,0.166631343,0.221322169
1.0,15.470742,0.145236797,0.19150758
1.0,16.18543466,0.126834289,0.166435523
1.0,16.92050464,0.111011925,0.145263684
1.0,17.67425264,0.097406118,0.127319849
1.0,18.44493615,0.085699408,0.11206048
1.0,19.23077353,0.075616912,0.099042189
1.0,20.02994808,0.066922115,0.087901155
1.0,20.8406123,0.059412477,0.078337446
1.0,21.66089211,0.052915227,0.07010295
1.0,22.4888912,0.04728299,0.062991402
1.0,23.32269542,0.042390922,0.056831647
1.0,24.1603772,0.038132739,0.05148062
1.0,25,0.03441828,0.046818787
1.0,25.02,0,0
1.0,50,0,0
5.0,0,0,0
5.0,3,0.024680618,0.40876666
5.0,3.54953237,0.112162126,0.396057646
5.0,4.067900771,0.156108209,0.39320095
5.0,4.553906848,0.180049935,0.394449372
5.0,5.006427063,0.19380602,0.395387288
5.0,5.424415288,0.202005082,0.396043345
5.0,5.806905228,0.206989662,0.395929045
5.0,6.153012649,0.210041846,0.39519265
5.0,6.461937428,0.211893882,0.394126518
5.0,6.732965398,0.212988948,0.392922592
5.0,6.965470002,0.213596636,0.391683582
5.0,7.158913742,0.213591753,0.389267345
5.0,7.312849418,0.213430464,0.389267345
5.0,7.426921164,0.21330898,0.389267345
5.0,7.500865272,0.213229392,0.389267345
5.0,7.534510799,0.213192979,0.389267345
5.0,7.541241633,0.213185695,0.389267345
5.0,7.58833327,0.213134413,0.389267345
5.0,7.675676842,0.213038728,0.389267345
5.0,7.803070431,0.212897651,0.389267345
5.0,7.970219531,0.212710025,0.389267345
5.0,8.176737731,0.212474427,0.389267345
5.0,8.422147605,0.212189514,0.389267345
5.0,8.70588182,0.211853857,0.389267345
5.0,9.027284445,0.211466406,0.389267345
5.0,9.385612468,0.211026278,0.389267345
5.0,9.780037514,0.210532908,0.389267345
5.0,10.20964776,0.209986228,0.389267345
5.0,10.67345004,0.209700338,0.390765535
5.0,10.86770694,0.209490979,0.379467656
5.0,11.17037214,0.192919568,0.307239428
5.0,11.6992653,0.167920042,0.249343901
5.0,12.25890683,0.145956645,0.208177305
5.0,12.84800295,0.126786257,0.175972423
5.0,13.46519181,0.110139041,0.149916169
5.0,14.10904661,0.095738954,0.128478303
5.0,14.77807889,0.083315672,0.110661085
5.0,15.470742,0.072618399,0.09575379
5.0,16.18543466,0.063417145,0.083217762
5.0,16.92050464,0.055505963,0.072631842
5.0,17.67425264,0.048703059,0.063659925
5.0,18.44493615,0.042849704,0.05603024
5.0,19.23077353,0.037808456,0.049521095
5.0,20.02994808,0.033461058,0.043950578
5.0,20.8406123,0.029706239,0.039168723
5.0,21.66089211,0.026457614,0.035051475
5.0,22.4888912,0.023641495,0.031495701
5.0,23.32269542,0.021195461,0.028415824
5.0,24.1603772,0.01906637,0.02574031
5.0,25,0.01720914,0.023409394
5.0,25.02,0,0
5.0,50,0,0
